,sepal.length,sepal.width,petal.length,petal.width,predict
0,7.0,3.2,4.7,1.4,1.0
1,6.4,3.2,4.5,1.5,1.0
2,5.5,2.3,4.0,1.3,1.0
3,6.5,2.8,4.6,1.5,1.0
4,5.7,2.8,4.5,1.3,1.0
5,6.3,3.3,4.7,1.6,1.0
6,4.9,2.4,3.3,1.0,1.0
7,6.6,2.9,4.6,1.3,1.0
8,5.2,2.7,3.9,1.4,1.0
9,5.0,2.0,3.5,1.0,1.0
10,5.9,3.0,4.2,1.5,1.0
11,6.0,2.2,4.0,1.0,1.0
12,6.1,2.9,4.7,1.4,1.0
13,5.6,2.9,3.6,1.3,1.0
14,6.7,3.1,4.4,1.4,1.0
15,5.6,3.0,4.5,1.5,1.0
16,5.8,2.7,4.1,1.0,1.0
17,6.2,2.2,4.5,1.5,1.0
18,5.6,2.5,3.9,1.1,1.0
19,5.9,3.2,4.8,1.8,1.0
20,6.1,2.8,4.0,1.3,1.0
21,6.3,2.5,4.9,1.5,1.0
22,6.1,2.8,4.7,1.2,1.0
23,6.4,2.9,4.3,1.3,1.0
24,6.6,3.0,4.4,1.4,1.0
25,6.8,2.8,4.8,1.4,1.0
26,6.0,2.9,4.5,1.5,1.0
27,5.7,2.6,3.5,1.0,1.0
28,5.5,2.4,3.8,1.1,1.0
29,5.5,2.4,3.7,1.0,1.0
30,5.8,2.7,3.9,1.2,1.0
31,6.0,2.7,5.1,1.6,1.0
32,5.4,3.0,4.5,1.5,1.0
33,6.0,3.4,4.5,1.6,1.0
34,6.7,3.1,4.7,1.5,1.0
35,6.3,2.3,4.4,1.3,1.0
36,5.6,3.0,4.1,1.3,1.0
37,5.5,2.5,4.0,1.3,1.0
38,5.5,2.6,4.4,1.2,1.0
39,6.1,3.0,4.6,1.4,1.0
40,5.8,2.6,4.0,1.2,1.0
41,5.0,2.3,3.3,1.0,1.0
42,5.6,2.7,4.2,1.3,1.0
43,5.7,3.0,4.2,1.2,1.0
44,5.7,2.9,4.2,1.3,1.0
45,6.2,2.9,4.3,1.3,1.0
46,5.1,2.5,3.0,1.1,1.0
47,5.7,2.8,4.1,1.3,1.0
48,5.8,2.7,5.1,1.9,1.0
